Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
"Papryka słodka (proszek)",0,0,0,0
"Proszek do pieczenia",51,1.4,11,0.2
"Płatki owsiane górskie",376,11.9,62.4,7.2
"Polędwica sopocka - Morliny",111,19,1.3,3.3
Olej,884,0,0,100
"Rozmaryn świeży",127,3.3,20.5,5.8
"Kawa Espresso",2,0.1,0,0.2
"Kasza gryczana (ugotowana)",92,3.4,19.9,0.6
"Chleb razowy - Oskroba",199,7,38,1
"Papryka chili (proszek)",0,0,0,0
Szynka,96,17,0,3
"Chleb pszenny",262,8.5,54.3,1.4
"Sałata mix",16,1.2,1.4,0.1
"Winogrona zielone",69,0.7,18.1,0.2
"Indyk (pierś bez skóry)",104,17.1,4.2,1.7
"Ocet winny",14,0,5.9,0
"Liść laurowy",0,0,0,0
"Kapusta kiszona",19,0.9,4.3,0.1
"Wędlina z piersi indyka",90,19.1,1.9,0.7
"Ryż biały (ugotowany)",130,2.7,28.2,0.3
"Pieczarka świeża",17,2.7,2.6,0.4
"Papryka żółta",27,1,6.3,0.2
"Bułka pszenna",271,7.3,58.3,1.4
"Brokuły (gotowane bez soli)",35,2.4,7.2,0.4
"Chleb pszenny razowy",247,13,41.3,3.4
Mango,60,0.8,15,0.4
"Ser Mozzarella light - Galbani",167,20,1.6,9
"Kiełki lucerny",23,4,2,0.8
"Szynka z indyka - Coop",126,18,2,4.8
"Fasola czerwona (konserwa) - Red Kidney",114,7.2,15.8,1.1
Grejpfrut,32,0.6,8.1,0.1
"Szynka wieprzowa gotowana",232,16.9,1,18.1
"Szynka z piersi kurczaka (delikatna)",85,16.2,1.5,1.6
"Kawa Latte",33,2,3,1.4
"Jajko ugotowane na miękko",143,12,0,10
"Papryka ostra (proszek)",0,0,0,0
"Szpinak BABY surowy",16,2.6,0.4,0.4
"Gałka muszkatołowa (mielona)",535,6,50.3,35.3
"Seler (natka)",16,0.7,3,0.2
"Otręby pszenne",185,16,61,4.6
"Ser Parmezan",452,41.5,0.1,32
Arbuz,30,0.6,7.6,0.2
Kardamon,0,0,0,0
Ananas,50,0.5,13.1,0.1
"Mleko 2% tłuszczu - Mlekovita",49,3,4.7,2
"Ryż parboiled długoziarnisty (nieugotowany) - Biedronka",365,7.9,79,1.4
"Mąka pszenna typ 500",364,10.3,76.3,1
"Surówka Colesław",67,0.8,4.2,4.4
Burak,43,1.6,9.6,0.2
"Jajko kurze gotowane",155,12.6,1.1,10.6
"Makaron pełnoziarnisty Pióra (nieugotowany)",340,15,58,3.2
"Pomidory w puszce",35,1.2,7.5,0
"Ser Feta light Apetina - Arla",150,16,3.5,8.5
Nektarynka,44,1.1,11,0.3
Jajecznica,149,10,1.6,11
"Serek homogenizowany naturalny - Pilos",125,11,1,7.5
"Fasolka szparagowa (żółta)",28,2.5,3.8,0.2
"Mleko 1,5%",45,3,4.8,1.5
"Dymka cebula",30,1.4,6.9,0.4
"Rozmaryn suszony (proszek)",331,4.9,64,15.5
"Kapusta pekińska",13,1.1,3.4,0.2
"Mleko 2%",50,3,5,2
"Jajko gotowane",155,12.6,1.1,10.6
"Kefir naturalny gęsty 1,5% tłuszczu - Tola",44,3.2,4.5,1.5
"Orzechy nerkowca",553,18.2,30.2,43.9
"Bazylia - liście",23,3.2,2.7,0.6
"Ser Ricotta (częściowo odtłuszczony)",138,11.4,5.1,7.9
"Chleb razowy 100% żytni",211,4.7,41.5,1.6
"Bułka tarta",363,9.2,75.6,2.2
Majonez,680,0.6,3,74
"Płatki owsiane błyskawiczne",375,12.7,67.6,6.3
"Tuńczyk w sosie własnym - Calvo",103,24,0,0.8
"Piwo jasne pełne",49,0.5,3.8,0
"Kolendra świeża",23,2.1,3.7,0.5
"Marchew (gotowana)",35,0.8,8.2,0.2
Jarmuż,42,3.3,8.3,0.6
"Serek wiejski light",81,11,2.4,3
"Chleb orkiszowy",249,8.3,44.2,5.9
"Mieszanka studencka z migdałami",409,8.1,46.3,19.8
"Pieprz kolorowy",1,1,1,1
Maliny,52,1.2,12,0.7
"Bazylia świeża",23,3.2,2.7,0.6
"Jogurt grecki",60,3.6,5.2,2.8
"Daktyle suszone ",290,2,74,0.4
"Płatki żytnie",385,6.4,82.6,3.2
"Otręby owsiane",361,18,45.6,7.7
"Surówka z białej kapusty",69,1.6,9.8,4.2
"Wino czerwone wytrawne",68,0.1,0.2,0
Dorsz,91,15,1,2
"Serek śmietankowy - Almette",230,7,6,20
"Ser sałatkowo - kanapkowy półtłusty - Favita",176,14,3,12
"Sok z cytryny",22,0.4,6.9,0.2
Bułka,293,9,52,4
"Musli owocowe - Sante",367,8.5,71.8,5
Bakłażan,24,1,5.7,0.2
"Chleb żytni 100%",204,6,40,1
"Fasola biała (konserwa)",114,7.3,21.2,0.3
Hummus,166,8,14,10
"Kawa zbożowa - Inka",342,4.5,73,0.2
"Kolendra nasiona",298,22,52,4.8
"Płatki migdałowe",600,23.3,16.6,50
"Borówka amerykańska",61,1,15,1
"Pierś z kurczaka bez skóry pieczona",79,16.8,2.2,0.4
"Ogórek zielony",16,0.7,3,0.1
"Margaryna extra z masłem - Delma",350,0.5,1.5,39
"Polędwica łososiowa - Biedronka",102,21,0.8,1.6
"Kurczak (udo bez skóry i kości)",125,17.8,0,6
"Kasza gryczana",355,12.6,69.3,3.1
"Mięso mielone drobiowe (kurczak, indyk)",143,19,0,7.5
"Serek wiejski - Piątnica",97,11,2,5
"Chleb orkiszowy bez polepszaczy i konserwantów - SPPIC Kraków",195,6.1,40.6,0.9
"Sałata rzymska",17,1.2,3.3,0.3
"Kurczak (pierś duszona)",151,29,0,3
"Kasza kuskus",342,13.3,67.9,1.7
"Ogórki kiszone",11,0.3,2.3,0.2
"Czekolada gorzka (70- 85% zawartości kakao)",598,7.8,45.9,42.6
"Kasza jęczmienna (ugotowana)",123,2.3,28.2,0.4
"Jajko sadzone",196,13.6,0.8,14.8
"Tortilla pełnoziarnista",292,8.9,46.6,6
"Ciecierzyca surowa",364,19,61,6
"Ser żółty Edam Rycki",355,26,2,27
"Rosół z kury z makaronem",148,17,11,4
"Mleko bez laktozy 1.5%",44,3,4.7,1.5
"Danone Activia Naturalna do picia",37,3.3,3.9,0.9
"Fasola czerwona (konserwa)",99,5.6,16,0.4
"Mleko 0% tłuszczu",34,3.4,5,0.1
"Tymianek świeży",101,1.7,24,5.6
"Śliwka (świeży owoc)",45,0.6,11.4,0.3
"Jajo kurze (białko)",52,10.9,0.7,0.2
"Chleb razowy ze słonecznikiem - Biedronka",257,6.4,43.4,5.6
"Mąka kukurydziana",365,9.3,76.3,3.9
Goździki,323,6,30,20.1
"Orzechy pistacjowe",568,20.3,27.5,45.4
"Sok pomarańczowy",47,0.7,11,0.2
"Makaron pełnoziarnisty (nieugotowany)",343,12,65,2.1
"Chleb wieloziarnisty",215,9.5,35,4.1
"Olej słonecznikowy kujawski",900,0,0,100
Wódka,231,0,0,0
"Kasza gryczana prażona",108,3,20,1
"Kotlet Schabowy Panierowany",318,15,11.5,25
Cykoria,15,1.7,2.7,0.4
"Nasiona Chia - szałwia hiszpańska (suszone)",486,16.5,42.1,30.7
"Majeranek suszony",271,12.7,61,7
"Chleb tostowy pełnoziarnisty - Kaufland",271,9.9,46,4.5
"Maślanka 1,5%",50,3.4,4.9,1.5
"Bułka wieloziarnista - Lidl",199,9,29,5
Bulion,12,2,1.2,0.1
"Jogurt naturalny - Piątnica",58,4,5.9,2
"Masło orzechowe",588,25.1,19.6,50.4
"Imbir (korzeń)",80,1.8,17.8,0.8
"Twaróg półtłusty - Delikate",116,16,4,4
"Kalafior (ugotowany)",23,1.8,4.1,0.5
"Musli tropikalne - Axa",370,8.9,64,6.8
"Tunczyk w wodzie (konserwowany)",106,24,0,1
"Jogurt naturalny gęsty - Bakoma",60,3.6,5.2,2.8
"Mąka żytnia",349,10.9,75.4,1.5
"Chleb baltonowski",248,5.4,52,1.9
"Ciecierzyca (konserwowa)",128,6.1,18.5,3
"Wafle ryżowe",374,8,81,2.9
"Ryż Basmati (ugotowany)",115,3,25,0.4
"Bułka razowa",265,10,53,5
"Papryka zielona",20,0.9,4.6,0.2
"Zupa pomidorowa",37,3.6,2.7,2.1
"Kotlet mielony (smażony)",254,18.6,6.4,17.9
"Pesto zielone - Sottile Gusto",401,4.7,7.6,38.6
"Pomidory suszone",258,14.1,55.8,3
"Szynka drobiowa",123,18.2,0,5.6
"Siemię lniane",534,18.3,28.9,42.2
"Coca Cola",37,0.1,9.6,0
"Serek wiejski lekki",81,11,2.4,3
"Sok marchwiowy jednodniowy",37,0.4,8.7,0.1
"Makaron pełnoziarnisty Spaghetti (nieugotowany) - Lubella",340,15,58,3.2
"Orzechy laskowe",628,15,16.7,60.8
"Mięta - liście",44,3.3,8.4,0.7
"Mix Sałat",16,1.2,1.4,0.1
"Mąka ziemniaczana",357,6.9,83.1,0.3
"Masło (pozostałe)",679,0.5,0.6,75
"Orzechy brazylijskie",656,14.3,12.3,66.4
"Nasiona siemienia lnianego",535,18.6,27.6,41.9
"Płatki kukurydziane Corn Flakes - Nestle",365,6.6,87.1,0.6
"Kawa rozpuszczalna z mlekiem i cukrem",36,0.6,7.9,0
Piwo,43,0.5,3.6,0
"Imbir mielony",347,9.1,65,6
"Cebula (smażona)",132,1,7.9,10.8
"Mleko kokosowe",119,0.6,2.2,12
"Ziemniaki młode (gotowane)",70,1.8,16.3,0.1
"Schab (pieczony)",146,21,3,5.5
"Warzywa na patelnię z przyprawą orientalną - Hortex",37,2.4,4.7,0.5
"Jogurt naturalny - Biedronka",60,4.5,6,2
"Kawa rozpuszczlana + 50 ml mleka",10,0.7,1,0.3
"Brokuły gotowane",24,2.7,2.4,0.4
"Twarożek Domowy Grani naturalny - Piątnica",90,11,2.4,4
"Kakao 16% tłuszczu (proszek)",400,3,75,15.8
"Twaróg naturalny chudy - Pilos",83,17,3.8,0
"Szynka z piersi kurczaka",85,16.2,1.5,1.6
"Ser pleśniowy Bleu - Lazur",370,19,1.4,32
"Makaron pełnoziarnisty Penne - Lubella (nieugotowany)",340,15,58,3.2
"Migdały płatki",623,24.1,10,54.1
Sernik,321,5.5,25.5,22.5
"Ser biały półtłusty",128,20,3,4
"Pomidory w puszce",22,1.2,3.5,0.1
"Ziemniaki gotowane tłuczone",77,1.9,18.3,0.1
"Serek homogenizowany",98,9,4,6
"Rosół drobiowy",46,5,1,2.6
"Wino białe wytrawne ",66,0.1,0.6,0
"Jabłko Gala",46,0.5,12,0.5
"Kukurydza słodka (konserwowa) - Nasza Spiżarnia",80,3,11,2
"Jogurt naturalny Activia - Danone",69,4.5,5.1,3.4
"Ser Mozzarella w zalewie - Sottile Gusto",251,18,2,19
"Wafel ryżowy naturalny",387,8.2,81.5,2.8
"Maślanka 0,5% tłuszczu",40,3.3,4.8,0.9
"Jajo kurze (żółtko)",322,15.9,3.6,26.5
"Soczewica czerwona",341,25.4,48.6,3
"Chleb żytni pełnoziarnisty",185,4.6,37.6,1.6
"Ryż biały (nieugotowany)",350,6.7,78.5,0.7
"Chleb słonecznikowy",245,6.9,39.7,6
"Kawa z mlekiem (2 łyżki mleka 0%)",5,1,3,0
"Oliwa - Tesco",823,0,0,91
"Przyprawa do kuchni włoskiej - Kamis",213,10,32,1.4
"Len mielony",253,40,3,9
"Ser Edamski - Światowid",347,26,0,27
"Herbata czerwona (parzona)",1,1,0,1
"Pomidory koktajlowe",11,1,2,0
"Mleko Łaciate 2% - Mlekpol",50,3.2,4.7,2
Mizeria,60,1.3,3.8,4.8
"Dorsz świeży",69,15.3,0,0.4
"Olej kokosowy",884,0,0,100
Jagody,57,0.7,14.5,0.3
"Mąka pszenna pełnoziarnista",340,13.2,72,2.5
"Siemię lniane - Sante",513,19.8,1,41.9
"Burak gotowany",44,1.7,10,0.2
"Chleb żytni na zakwasie",213,3.9,44.8,1.1
"Makaron jajeczny (ugotowany)",146,5.7,27.1,1.6
"Pomidory suszone w oleju",213,5.1,23.3,14.1
"Kapusta czerwona",31,1.4,7.4,0.2
"Kotlet z piersi kurczaka (w panierce smażony)",260,21,6.9,19.2
"Śmietana 18% tłuszczu",189,2.5,4.4,18
"Jajecznica na maśle",216,13,1,18
"Masło klarowane",883,0,0,100
"Ser Mozzarella",248,17.5,1.5,19
"Przyprawa ziele angielskie",259,6.2,70.6,8.8
"Bułka fitness - Lidl",270,9.5,49,4.2
"Mieszanka warzywna chińska - Mroźna Kraina",37,2,5.7,0.4
"Ser Ementaler pełnotłusty",383,28.8,0.1,28.7
"Pierogi ruskie",215,6.2,37.9,3.8
"Szynka parmeńska Carpaccio",222,27.5,1,12
"Szynka z indyka",126,18,2,4.8
"Zupa jarzynowa",29,1,3.9,1.6
"Kiełbasa krakowska sucha",326,25.6,0,24.8
"Filet z kurczaka",99,21.5,0,1.3
Kalarepa,27,1.7,6.2,0.1
"Kakao (proszek)",459,18.2,50.6,21.7
"Kefir naturalny - Krasnystaw",57,4,5.7,2
"Sok pomidorowy",17,0.8,4.2,0.1
"Delma z masłem",350,0.5,1.5,39
"Naleśniki z mąki pszennej",212,8.1,34.5,4.9
"Margaryna Rama Classic",532,0.5,0.5,60
"Truskawki (mrożone)",32,0.7,7.5,0.4
"Jabłko Jonagold",46,0.5,12,0.5
"Szynka Delikatna łagodnie wędzona Kraina Wędlin - Biedronka",208,21,1,14
"Pesto zielone - Tesco",411,4,3,42
"Pierś z kurczaka",99,21.5,0,1.3
"Płatki owsiane gotowane (owsianka na wodzie)",54,2,12,1
"Pierś z kurczaka ugotowana",151,32.9,0,2
Czereśnie,50,1,12.2,0.3
"Chleb pszenno-żytni z ziarnami",243,7,45.5,2.8
Bigos,112,10.4,2.4,7.2
"Margaryna Benecol",540,0,0,60
"Ciasto jabłkowe (szarlotka)",265,2.4,37.1,12.5
"Pieczarki duszone",38,1.9,2.6,1.9
"Twaróg chudy - Biedronka",101,20,4,0.5
"Tuńczyk kawałki w oleju - Amerigo",287,20,0,23
"Sałatka jarzynowa (z majonezem)",139,2.9,8.2,11.4
"Mąka pszenna typ 550",361,12,72.5,1.7
"Makaron Pełnoziarnisty całe ziarno (nieugotowany)",340,15,58,3.2
"Fasola szparagowa zielona gotowana",35,1.9,7.9,0.3
"Groszek konserwowy - Aldi",63,4.9,15.8,0.2
"Kurczak pieczone udko",211,24,0,12
"Kapusta biała (surowa)",24,1.3,6,0.1
"Chleb 7 zbóż - Biedronka",206,5.2,38,1.4
"Serek wiejski naturalny lekki - Bieluch",81,9,4.5,3
"Warzywa na patelnię z przyprawą włoską - Hortex",49,2.7,7.1,0.9
"Fasola czerwona (konserwowa) - Pudliszki",89,5.5,15.7,0.4
"Sok 100% pomarańcza z miąższem",43,0.6,9.5,0.5
"Masło osełkowe ekstra - Mleczna Dolina",753,0.6,0.8,83
"Filet z kurczaka smażony bez panierki",239,24.6,0.5,15.7
Borówka,57,0.7,14.5,0.3
"Filet z kurczaka gotowany",131,26,0,2
"Pieczywo chrupkie 7 ziaren - Sonko",368,9,76.6,1.5
"Chleb pełnoziarnisty",216,5.6,43.6,1.8
"Kawa parzona z cukrem",56,1.2,10,1.1
"Kukurydza konserwowa Nasza Spiżarnia Biedronka",80,3,11,2
"Czekolada mleczna",535,8,59,30
Sól,0,0,0,0
"Mąka pszenna",332,11,63,2.3
"Grejpfrut czerwony",42,0.8,10.7,0.1
Łosoś świeży,127,20.5,0,4.4
"Zupa ogórkowa",48,3.4,5,2.1
"Serek topiony",215,16,16,10
"Łosoś filet",201,19.9,0,13.6
Melon,33,0.8,8,0.2
"Mleko 2% - Pilos",50,4,5,2
"Indyk (mięso mielone)",180,16.9,0,12.5
"Ser Gouda Serenada",339,28.2,0.1,26
"Kasza jęczmienna",338,10.4,69.8,1.4
"Ogórek małosolny",11,0.3,2.3,0.2
"Sałatka grecka",105,3,3.2,9.5
"Mleko prawdziwe 1,5% - Biedronka",44,3,4.7,1.5
"Schab (surowy)",128,24,0.4,3.5
"Sok jabłkowy",46,0.1,11.3,0.1
"Schab Pieczony Kraina Wędlin - Biedronka",146,21,3,5.5
Dynia,26,1,6.5,0.1
"Szynka z indyka",132,19.6,0,5.2
"Ziemniaki gotowane - puree",92,2,16.9,2.3
"Zupa pomidorowa z ryżem",71,1.5,15.2,0.4
"Kasza jęczmienna pęczak (ugotowana)",123,2,28,0.4
"Pierś z kurczaka wędzona",107,23,0,0.5
"Kasza kuskus (ugotowana)",112,6,23.2,0.2
"Pieczywo chrupkie lekkie razowe - Sonko",363,8.6,74.2,1.5
"Pieczarki smażone",246,3.4,3.3,24.3
"Przyprawa Cząber",1,0,0,0
"Przyprawa gałka muszkatołowa",0,0,0,0
Chrzan,48,1.2,11.3,0.7
"Dżem truskawkowy - Spiżarnia Natury",147,0.5,35,0.5
"Masło roślinne",706,0.3,0.4,80
Ryż,115,3,25,0.4
"Wafle ryżowe naturalne - Kupiec",374,8.5,73.3,3.3
Jogurt,62,5.1,6.2,1.5
"Buraki tarte",40,1.8,9.5,0.1
"Sos sojowy ciemny - Tao Tao",27,3.8,2.7,0.1
"Papryka czerwona",28,1.3,6.6,0.5
"Ser biały chudy",113,25,2.2,0.5
"Bagietka pełnoziarnista",260,8,54,1
"Fasola czarna (ziarno suche)",341,21.6,62.4,1.4
"Bułka fitness",260,10.4,52,2.6
"Czekolada gorzka - E. Wedel",502,8.4,39,32
"Płatki kukurydziane",399,7.7,88.8,0.3
"Zupa pomidorowa z makaronem",158,8.9,17.3,5.8
"Dżem truskawkowy niskosłodzony - Rapsodia",158,0.4,38,0.2
"Serek Danio",112,5.2,15.8,3
"Kawa rozpuszczalna Nescafe Classic - Nestle",63,7,9,0.2
"Twaróg Klinek 0% tłuszczu - Biedronka",96,19.8,3.5,0.3
"Kawa rozpuszczalna Creme Sensazione - Nescafe",120,7,9,0.2
"Fasola czerwona konserwowa - Nasza Spiżarnia",101,8.1,12,0.6
"Kukurydza ugotowana (bez soli)",96,3.4,21,1.5
"Szynka z kurczaka",109,20,3,2.8
"Mleko 0,5% Mleczna Dolina - Biedronka",38,3,5,0.5
"Świeży sok jabłkowy",47,0.3,10.4,0.3
"Szynka konserwowa - Kraina Wędlin",109,19.1,1,2.8
"Makaron jajeczny Nitki (ugotowany)",140,4.9,28.7,0.7
"Udko z kurczaka bez skóry (gotowane)",125,18,0,6
"Masło Ekstra 80 %",744,1,1,82
"Makaron Spaghetti (ugotowany)",154,7,30,1
"Chleb Całe Ziarno - Biedronka",221,6.6,41,1.5
"Orzeszki ziemne prażone bez soli",585,23.7,21.5,49.7
"Makaron razowy (ugotowany)",140,6,26,1
"Ser Mozarella - Lidl",245,18,2,19
"Lubczyk - liście",42,3.5,5,0.8
"Kawa czarna mielona (do zaparzenia)",2,0,0,0
"Ser Blue z niebieską pleśnią",357,18.5,1,31
Whisky,220,0,0,0
Kapary,23,2.3,4.9,0.7
"Przyprawa papryka słodka",289,14.8,55.7,13
"sałata masłowa",14,1.4,2.9,0.2
"Mleko sojowe",41,2.9,3.3,1.7
"Oliwa z oliwek - Monini",824,0,0,92
"Szynka Babuni - Sokołów",97,18,1.3,2.2
"Przyprawa cebula suszona",271,11.1,51.1,1.7
"Polędwica wieprzowa (wędzona)",165,19,1,9
"Ser żółty Liliput - Serovit",335,25,0.1,26
"Bułka z ziarnami",293,11.8,46.9,8.7
"Jogurt smakowy 7 zbóż - Bakoma",92,2.6,14.8,1.5
"Tuńczyk w oleju - Lidl",124,24.6,0.5,2.8
Granat,83,1.7,18.7,1.2
"Chleb Złoty Łan - Oskroba",261,9.5,45.3,3.6
"Jabłko gold",46,0.4,10.2,0.4
"Dżem niskosłodzony",143,0.7,39,0.2
"Chleb Domowy z ziarnami - Schulstad",304,9.9,50.5,6.2
"Serek wiejski - Biedronka",99,11,3,5
"Bułka - Bagietka",288,7.9,60.1,1.7
"Gołąbki z ryżem i mięsem",108,6.7,10.2,5.2
"Kurkuma (proszek)",354,8,65,10
"Bułka z dynią - Lidl",216,7,46,1.4
"Bułka ciabatta",259,8.2,48.8,1.3
"Ziemniaki pieczone (z solą)",93,2,21.6,0.1
"Olej rzepakowy - Kujawski",900,0,0,100
"Kiełbasa podwawelska",254,17.3,0.9,19.6
"Seler naciowy",13,1,3.6,0.2
"Gulasz wieprzowy",186,11.3,5.9,14.7
"Jogurt naturalny z wapniem - Tola",60,5,6,2
"Kawa parzona z mlekiem",2,0.1,0,0.2
"Komosa ryżowa - Quinoa (nieugotowana)",368,14.1,64.2,6.1
"Ogórki konserwowe - Dawtona",24,1,3.7,0.1
"Botwina (świeża)",22,2.2,4.3,0.1
"Margaryna Flora",540,0.1,0,60
"Fasola szparagowa żółta",31,1.8,7.1,0.1
"Ćwikła z chrzanem (buraki)",43,1.8,12.2,0.3
"Mieszanka mix Sałat - Fit & Easy",14,1.6,1.5,0.1
"Oliwki czarne",122,0.5,0,13.2
"Serek z ziołami - Almette",230,6.8,5.6,20
"Kiełki brokuła",56,4.9,6.9,0
Drożdżówka,371,6,51,16
"Jajko sadzone na oleju",170,10,0.7,14
"Ogórki konserwowe kanapkowe - Nasza Spiżarnia",44,0.3,9.7,0.1
"Ogórek konserwowy - Nasza Spiżarnia",44,0.3,9.7,0.1
"Cebula dymka ze szczypiorem (surowa)",37,1.4,6.9,0.4
"Kiełki rzodkiewki",42,3.9,3.8,2.3
"Mleko 3,2% tłuszczu Mleczna Dolina - Biedronka",60,3,4.7,3.2
"Krem czekoladowy Nutella",541,5.4,62.2,29.7
"Ser żółty (pozostałe)",347,26,0,27
"Placki ziemniaczane",231,3.6,21.8,14.5
"Grejfrut Pomelo",38,0.8,10,0.2
"Makaron z pszenicy durum (ugotowany)",156,5.2,31.2,0.9
"Pieczywo chrupkie żytnie - Tovago",351,9.9,72,0.9
"Sos sojowy",27,3.8,2.7,0.1
